Nuts,Lat,Long,Level
DEE0A,51.54076693,11.33194772,3
DEE0B,51.44978841,11.81156937,3
DEE0C,51.84361729,11.62682472,3
DEE0D,52.66172565,11.8240117,3
DEE0E,51.825554,12.71953183,3
DEF01,54.77493629,9.43210192,3
DEF02,54.31544423,10.12562349,3
DEF03,53.81720463,10.76045631,3
DEF04,54.08696696,9.99210598,3
DEF05,54.11553761,9.12360481,3
DEF06,53.57151162,10.59426762,3
DEF07,54.35120766,8.81118089,3
DEF08,53.96937737,10.7683972,3
DEF09,53.73176767,9.73511469,3
DEF0A,54.25419591,10.37258541,3
DEF0B,54.28838343,9.75105787,3
DEF0C,54.37540156,9.55329211,3
DEF0D,53.92178319,10.15673547,3
DEF0E,53.90600015,9.53139496,3
DEF0F,53.71312816,10.32130047,3
DEG01,50.98152583,11.01472369,3
DEG02,50.9005946,12.08353274,3
DEG03,50.91549137,11.58483278,3
DEG04,50.57093845,10.69026764,3
DEG05,50.9712006,11.31790813,3
DEG06,51.35053211,10.2304063,3
DEG07,51.52019135,10.72695989,3
DEG09,51.18975737,10.55371385,3
DEG0A,51.32297654,10.97948652,3
DEG0B,50.40418911,10.39339771,3
DEG0C,50.87941479,10.68232325,3
DEG0D,51.13555096,11.1751644,3
DEG0E,50.28225246,10.7425538,3
DEG0F,50.72793085,10.97842204,3
DEG0G,50.80584427,11.39495355,3
DEG0H,50.45123469,11.11334343,3
DEG0I,50.48126768,11.29722765,3
DEG0J,50.7778688,11.71676458,3
DEG0K,50.58755363,11.71278973,3
DEG0L,50.7011234,12.08849588,3
DEG0M,50.96021623,12.43406423,3
DEG0N,50.98602215,10.28308578,3
DEG0P,50.76699122,10.24556582,3
DK011,55.61587816,12.59653981,3
DK012,55.67708794,12.37338598,3
DK013,55.72981957,12.21757702,3
DK014,55.1173617,14.92241363,3
DK021,55.51987535,12.06589533,3
DK022,55.07877811,11.64795818,3
DK031,55.34589459,10.26782934,3
DK032,55.36699112,8.97245112,3
DK041,56.33878841,8.94039389,3
DK042,55.86028745,10.08719922,3
DK050,57.10343757,9.42001527,3
EE001,59.35973977,24.87748687,3
EE004,58.46433804,24.27715204,3
EE006,58.94327005,25.44823272,3
EE007,59.12752555,27.32961229,3
EE008,58.28275359,26.4713246,3
ES111,43.09639978,-8.40237628,3
ES112,43.06840626,-7.4455432,3
ES113,42.1139375,-7.47179004,3
ES114,42.4278387,-8.41649388,3
ES120,43.32214133,-5.82495137,3
ES130,42.82991684,-3.90405959,3
ES211,42.53425216,-2.68770282,3
ES212,43.12036151,-2.16279174,3
ES213,43.23247743,-2.92116216,3
ES220,42.60855942,-1.5820777,3
ES230,42.31722044,-2.42895688,3
ES241,42.05929882,-0.02058052,3
ES242,40.5787387,-0.74180826,3
ES243,41.77535491,-0.98001781,3
ES300,39.93312957,-3.76496887,3
ES411,40.664914,-4.99197756,3
ES412,42.39036965,-3.56683385,3
ES413,42.59122974,-5.85802664,3
ES414,42.40439414,-4.55422227,3
ES415,40.75059541,-6.0111997,3
ES416,41.23137159,-3.97196762,3
ES417,41.5789369,-2.64582411,3
ES418,41.53015128,-4.69606193,3
ES419,41.66557518,-6.04533463,3
ES421,38.82572376,-1.88608024,3
ES422,38.85888776,-3.8575654,3
ES423,39.33756038,-2.0281552,3
ES424,40.85418605,-2.53677496,3
ES425,39.40797757,-4.075342,3
ES431,38.63994546,-5.93883399,3
ES432,39.7122054,-6.28998238,3
ES511,41.69971894,2.06493925,3
ES512,42.03064639,2.57004389,3
ES513,42.1390694,1.04427433,3
ES514,41.16509656,0.87681064,3
ES521,38.60372163,-0.4363238,3
ES522,40.26142105,-0.17205576,3
ES523,39.29382525,-0.79419979,3
ES531,38.99057926,1.41366728,3
ES532,39.62441965,2.91359569,3
ES533,39.97812602,4.05680942,3
ES611,37.16390508,-2.40262663,3
ES612,36.46986017,-5.68356026,3
ES613,38.02020604,-4.84358725,3
ES614,37.20255433,-3.20447332,3
ES615,37.62424927,-6.79876228,3
ES616,38.0092892,-3.35875498,3
ES617,36.8300501,-4.7254968,3
ES618,36.99288552,-5.49130121,3
ES620,37.90075088,-1.52469406,3
ES630,35.88995778,-5.32676372,3
ES640,35.29315675,-2.94728016,3
ES703,27.70593278,-18.00304244,3
ES704,28.27792973,-14.14240594,3
ES705,27.96710634,-15.59611729,3
ES706,28.12060917,-17.22832798,3
ES707,28.68677569,-17.84442358,3
ES708,29.0192823,-13.64532824,3
ES709,28.15054716,-16.42875849,3
FI193,62.4457099,25.44886917,3
FI194,62.87562878,23.19103779,3
FI195,63.24731652,22.46594062,3
FI196,61.56692331,22.2025924,3
FI197,61.64446808,23.71970033,3
FI1B1,60.02883414,24.54179787,3
FI1C1,60.6973467,22.54327738,3
FI1C2,60.93572275,24.22311508,3
FI1C3,61.25731469,25.62821856,3
FI1C4,60.80873235,26.9784529,3
FI1C5,61.08672175,28.22660065,3
FI1D1,61.79092866,27.85405869,3
FI1D2,63.15059833,27.56179616,3
FI1D3,62.98009313,29.74570727,3
FI1D4,64.64306474,28.67291014,3
FI1D5,63.61429075,24.00553775,3
FI1D6,63.92466163,26.16397827,3
FI1D7,65.85421505,24.14139941,3
FR101,48.85963091,2.34461755,3
FR102,48.64893205,2.94983312,3
FR103,48.76141156,1.86587492,3
FR104,48.5405896,2.25404676,3
FR105,48.80334413,2.25424976,3
FR106,48.90625529,2.45175441,3
FR107,48.7732763,2.46012961,3
FR108,49.11023023,2.09478678,3
FR211,49.618201,4.7046641,3
FR212,48.3291897,4.12946294,3
FR213,49.05505219,4.1965617,3
FR214,48.06822375,5.2683655,3
FR221,49.01710446,3.67442687,3
FR222,49.39598529,2.42294878,3
FR223,49.66155538,2.3509629,3
FR231,49.02275542,1.10080076,3
FR232,49.2561626,0.99580805,3
FR241,47.06104214,2.42852367,3
FR242,48.37167393,1.36522395,3
FR243,46.82296759,1.51171875,3
FR244,47.27230729,0.68700895,3
FR245,47.59695347,1.42509009,3
FR246,47.94963004,2.32026062,3
FR251,49.0844243,-0.38635011,3
FR252,49.11007398,-1.31794279,3
FR253,48.64132439,0.02857089,3
FR261,47.47359292,4.78110632,3
FR262,47.13830168,3.5681215,3
FR263,46.64081154,4.55886881,3
FR264,47.90489985,3.57598487,3
FR301,50.4088873,3.18678167,3
FR302,50.12929964,2.40358289,3
FR411,48.61398582,6.31851649,3
FR412,49.00041336,5.36297801,3
FR413,48.90756964,6.79360088,3
FR414,48.18942548,6.30893142,3
FR421,48.57716371,7.60413096,3
FR422,47.86768692,7.23263701,3
FR431,47.13260735,6.39174183,3
FR432,46.7676381,5.73715296,3
FR433,47.36528127,6.11414527,3
FR434,47.60184066,6.95149304,3
FR511,47.29111482,-1.72288379,3
FR512,47.06113817,-0.48231741,3
FR513,48.10228086,-0.6416783,3
FR514,48.01634251,0.22684989,3
FR515,46.62464856,-1.34090539,3
FR521,48.03728083,-2.66019227,3
FR522,48.04485556,-4.07342021,3
FR523,48.19134164,-1.6665704,3
